longitude,latitude,Size
152.24199492753624,-25.122501207729467,428478
149.61419539951575,-24.260957627118646,417310
115.82364408759123,-31.945701751824817,690207
115.80605868613138,-31.827581167883213,701286
117.245839238653,-29.667588140556365,685403
115.86630394160584,-31.952805839416058,708631
116.05162686131386,-33.069195474452556,703488
115.84905576642336,-32.09001489051095,701604
115.98824233576643,-31.944534744525548,716478
151.19451258106355,-33.82643942931258,783816
151.1669823605707,-33.88135110246433,789060
149.12743527885863,-35.289372114137485,770980
151.49283022049286,-33.17139130998703,788724
150.89946575875487,-33.87131193255512,788556
151.78350207522698,-32.0621120622568,789692
151.08115927367055,-33.9951261997406,815168
151.68498988326849,-32.91506238651103,781657
148.9194460106383,-32.60422074468085,765120
150.65318936446172,-34.62706381322957,775845
151.2094664072633,-33.85663722438392,806012
148.73521322957197,-35.16640038910506,784810
151.21894526588846,-33.91253346303502,774376
151.2257185473411,-33.78896342412451,782971
151.2064319066148,-33.87350363164721,793755
151.28009092088197,-33.5726495460441,776733
149.46942075226977,-35.657041504539556,801815
150.67873981841763,-33.70127730220493,806596
151.05546653696499,-33.86277509727626,783333
151.12310869001297,-33.78157535667964,797187
150.76219753566798,-34.14251686121919,799377
150.97469182879377,-33.7111588845655,785503
144.96844626666666,-37.81442066666666,757185
146.50385813333332,-40.83668346666667,769178
145.98408426666666,-36.00234199999999,772576
144.89323613333335,-37.73781546666667,785930
146.30221693333334,-38.102792533333336,765023
147.33308605898122,-42.7505298927614,762163
144.95121306666667,-37.81841853333333,777404
143.22863133333334,-37.71230026666667,766525
145.2799212,-37.80990893333333,775718
144.98469186666665,-37.8441872,763737
144.5321704,-38.112998133333335,770143
145.10943373333333,-37.80989786666667,759228
144.40509666666668,-37.04046866666667,754809
145.028384,-37.76987426666667,766624
145.17607386666666,-38.125728933333335,759273
145.08771586666666,-37.91693,782163
130.96879206798866,-13.97179419263456,724641
138.60303356258598,-34.931769738651994,753347
138.68432888583217,-34.89239944979367,746209
138.18168954607978,-33.90939683631362,759210
138.53566478679505,-35.09415502063274,742155
140.3185606896552,-35.2725684137931,734873
138.54559614855572,-34.88222833562586,746144
147.46859901547117,-20.334820112517576,745933
144.82965246132207,-17.25479268635725,715093
153.04636426592796,-27.46390969529086,744047
153.01304113573408,-27.494926869806093,736713
153.28216052631578,-27.918678531855956,740344
152.94766980609418,-26.530723407202213,721057
153.0236231301939,-27.410461772853186,747343
153.15578130193904,-27.605338781163436,734964
153.4421522160665,-28.344966481994458,743296
152.98167506925208,-27.11059916897507,758702
152.87178282548476,-27.630737673130195,734024
152.4936652234637,-29.96367276536312,737965
151.9058972299169,-27.627659833795015,735764
